철도운영기관명,선명,역명,경도,위도
서울교통공사,2호선,을지로입구,126.982618,37.566014
서울교통공사,2호선,을지로3가,126.99191,37.566295
서울교통공사,2호선,을지로4가,126.998079,37.566941
서울교통공사,2호선,동대문역사문화공원,127.007896,37.565138
서울교통공사,2호선,신당,127.01782,37.565972
서울교통공사,2호선,왕십리,127.037732,37.561533
서울교통공사,2호선,건대입구,127.07023,37.540693
서울교통공사,2호선,강변(동서울터미널),127.094681,37.535095
서울교통공사,2호선,잠실(송파구청),127.102234,37.51395
서울교통공사,2호선,종합운동장,127.073642,37.510997
서울교통공사,2호선,교대(법원·검찰청),127.01408,37.493415
서울교통공사,2호선,영등포구청,126.895951,37.52497
서울교통공사,2호선,홍대입구,126.925381,37.557192
서울교통공사,2호선,사당,126.981685,37.47653
서울교통공사,2호선,선릉,127.049008,37.504503
서울교통공사,2호선,강남,127.027926,37.497175
서울교통공사,2호선,대림(구로구청),126.895801,37.49297
서울교통공사,2호선,까치산,126.846683,37.531768
서울교통공사,2호선,당산,126.902281,37.53438
서울교통공사,2호선,합정,126.913739,37.549463
서울교통공사,2호선,상왕십리,127.029354,37.564354
서울교통공사,2호선,한양대,127.043655,37.555273
서울교통공사,2호선,뚝섬,127.047367,37.547184
서울교통공사,2호선,성수,127.055961,37.544581
서울교통공사,2호선,구의(광진구청),127.085916,37.537077
서울교통공사,2호선,잠실나루,127.10379,37.520733
서울교통공사,2호선,잠실새내,127.086162,37.511687
서울교통공사,2호선,삼성(무역센터),127.06316,37.508844
서울교통공사,2호선,역삼,127.036456,37.500622
서울교통공사,2호선,서초,127.007917,37.491897
서울교통공사,2호선,방배,126.997596,37.481426
서울교통공사,2호선,낙성대,126.963693,37.47693
서울교통공사,2호선,서울대입구(관악구청),126.952739,37.481247
서울교통공사,2호선,봉천,126.941892,37.482362
서울교통공사,2호선,신림,126.929715,37.484201
서울교통공사,2호선,신대방,126.913149,37.487462
서울교통공사,2호선,구로디지털단지,126.901401,37.485266
서울교통공사,2호선,문래,126.89476,37.517933
서울교통공사,2호선,신촌,126.936893,37.555134
서울교통공사,2호선,이대,126.946013,37.556733
서울교통공사,2호선,아현,126.956141,37.557345
서울교통공사,2호선,용답,127.050899,37.561904
서울교통공사,2호선,신답,127.046481,37.57004
서울교통공사,2호선,도림천,126.882768,37.514287
서울교통공사,2호선,양천구청,126.865819,37.512398
서울교통공사,2호선,신정네거리,126.852912,37.520074
서울교통공사,2호선,용두(동대문구청),127.038091,37.574028
